text,true_label,idx,true_label_text
"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . ",1,30,POSITIVE
there 's no emotional pulse to solaris . ,0,542,NEGATIVE
"a fast , funny , highly enjoyable movie . ",1,67,POSITIVE
"too restrained to be a freak show , too mercenary and obvious to be cerebral , too dull and pretentious to be engaging ... the isle defies an easy categorization . ",0,722,NEGATIVE
an unwise amalgam of broadcast news and vibes . ,0,328,NEGATIVE
"a pleasant enough romance with intellectual underpinnings , the kind of movie that entertains even as it turns maddeningly predictable . ",1,333,POSITIVE
"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks . ",0,797,NEGATIVE
it 's hard to imagine alan arkin being better than he is in this performance . ,1,753,POSITIVE
"dazzles with its fully-written characters , its determined stylishness ( which always relates to characters and story ) and johnny dankworth 's best soundtrack in years . ",1,244,POSITIVE
"fun , flip and terribly hip bit of cinematic entertainment . ",1,300,POSITIVE
the movie fails to live up to the sum of its parts . ,0,76,NEGATIVE
one of the more intelligent children 's movies to hit theaters this year . ,1,250,POSITIVE
corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in . ,0,713,NEGATIVE
the performances take the movie to a higher level . ,1,611,POSITIVE
"one of those pictures whose promising , if rather precious , premise is undercut by amateurish execution . ",0,585,NEGATIVE
a compelling spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession . ,1,768,POSITIVE
uses high comedy to evoke surprising poignance . ,1,72,POSITIVE
it has all the excitement of eating oatmeal . ,0,527,NEGATIVE
"feature debuter d.j. caruso directs a crack ensemble cast , bringing screenwriter tony gayton 's narcotics noir to life . ",1,567,POSITIVE
"the old-world - meets-new mesh is incarnated in the movie 's soundtrack , a joyful effusion of disco bollywood that , by the end of monsoon wedding , sent my spirit soaring out of the theater . ",1,294,POSITIVE
"an important movie , a reminder of the power of film to move us and to make us examine our values . ",1,640,POSITIVE
it 's a bit disappointing that it only manages to be decent instead of dead brilliant . ,0,526,NEGATIVE
it 's not the ultimate depression-era gangster movie . ,0,139,NEGATIVE
"it has the charm of the original american road movies , feasting on the gorgeous , ramshackle landscape of the filmmaker 's motherland . ",1,820,POSITIVE
"the vitality of the actors keeps the intensity of the film high , even as the strafings blend together . ",1,680,POSITIVE
"the movie is n't just hilarious : it 's witty and inventive , too , and in hindsight , it is n't even all that dumb . ",1,678,POSITIVE
"it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role . ",0,96,NEGATIVE
"while locals will get a kick out of spotting cleveland sites , the rest of the world will enjoy a fast-paced comedy with quirks that might make the award-winning coen brothers envious . ",1,644,POSITIVE
broomfield turns his distinctive ` blundering ' style into something that could really help clear up the case . ,1,332,POSITIVE
oh come on . ,0,449,NEGATIVE
"awesome creatures , breathtaking scenery , and epic battle scenes add up to another ` spectacular spectacle . ' ",1,316,POSITIVE
"paid in full is so stale , in fact , that its most vibrant scene is one that uses clips from brian de palma 's scarface . ",0,265,NEGATIVE
"warm water under a red bridge is a quirky and poignant japanese film that explores the fascinating connections between women , water , nature , and sexuality . ",1,120,POSITIVE
the wild thornberrys movie is a jolly surprise . ,1,302,POSITIVE
"the film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle . ",0,86,NEGATIVE
"for the first time in years , de niro digs deep emotionally , perhaps because he 's been stirred by the powerful work of his co-stars . ",1,696,POSITIVE
"escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie . ",1,39,POSITIVE
"a moody , multi-dimensional love story and sci-fi mystery , solaris is a thought-provoking , haunting film that allows the seeds of the imagination to germinate . ",1,450,POSITIVE
"a celebration of quirkiness , eccentricity , and certain individuals ' tendency to let it all hang out , and damn the consequences . ",1,192,POSITIVE
"harris commands the screen , using his frailty to suggest the ravages of a life of corruption and ruthlessness . ",1,634,POSITIVE
"it does nothing new with the old story , except to show fisticuffs in this sort of stop-go slow motion that makes the gang rumbles look like they 're being streamed over a 28k modem . ",0,568,NEGATIVE
"martin and barbara are complex characters -- sometimes tender , sometimes angry -- and the delicate performances by sven wollter and viveka seldahl make their hopes and frustrations vivid . ",1,231,POSITIVE
"as a first-time director , paxton has tapped something in himself as an actor that provides frailty with its dark soul . ",1,362,POSITIVE
"the result is a gaudy bag of stale candy , something from a halloween that died . ",0,761,NEGATIVE
it is great summer fun to watch arnold and his buddy gerald bounce off a quirky cast of characters . ,1,314,POSITIVE
"the best revenge may just be living well because this film , unlike other dumas adaptations , is far more likened to a treasure than a lengthy jail sentence . ",1,215,POSITIVE
"sticky sweet sentimentality , clumsy plotting and a rosily myopic view of life in the wwii-era mississippi delta undermine this adaptation . ",0,456,NEGATIVE
"even if you do n't think ( kissinger 's ) any more guilty of criminal activity than most contemporary statesmen , he 'd sure make a courtroom trial great fun to watch . ",1,483,POSITIVE
"forced , familiar and thoroughly condescending . ",0,137,NEGATIVE
"this is a winning ensemble comedy that shows canadians can put gentle laughs and equally gentle sentiments on the button , just as easily as their counterparts anywhere else in the world . ",1,198,POSITIVE
"scores no points for originality , wit , or intelligence . ",0,110,NEGATIVE
"an entertaining , colorful , action-filled crime story with an intimate heart . ",1,275,POSITIVE
manages to be sweet and wickedly satisfying at the same time . ,1,168,POSITIVE
i got a headache watching this meaningless downer . ,0,591,NEGATIVE
it 's a stunning lyrical work of considerable force and truth . ,1,479,POSITIVE
"i 've always dreamed of attending cannes , but after seeing this film , it 's not that big a deal . ",0,548,NEGATIVE
"so much facile technique , such cute ideas , so little movie . ",1,656,POSITIVE
"the movie is dawn of the dead crossed with john carpenter 's ghosts of mars , with zombies not as ghoulish as the first and trains not as big as the second . ",0,819,NEGATIVE
just not campy enough ,0,578,NEGATIVE
when leguizamo finally plugged an irritating character late in the movie . ,0,388,NEGATIVE
"visually imaginative , thematically instructive and thoroughly delightful , it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality . ",1,857,POSITIVE
"( e ) ventually , every idea in this film is flushed down the latrine of heroism . ",0,487,NEGATIVE
the story and structure are well-honed . ,1,306,POSITIVE
"for close to two hours the audience is forced to endure three terminally depressed , mostly inarticulate , hyper dysfunctional families for the price of one . ",0,529,NEGATIVE
a rarity among recent iranian films : it 's a comedy full of gentle humor that chides the absurdity of its protagonist 's plight . ,1,259,POSITIVE
"/ but daphne , you 're too buff / fred thinks he 's tough / and velma - wow , you 've lost weight ! ",0,260,NEGATIVE
"`` mostly martha '' is a bright , light modern day family parable that wears its heart on its sleeve for all to see . ",1,533,POSITIVE
a bloated gasbag thesis grotesquely impressed by its own gargantuan aura of self-importance ... ,0,704,NEGATIVE
"too slow , too long and too little happens . ",0,650,NEGATIVE
"not only are the special effects and narrative flow much improved , and daniel radcliffe more emotionally assertive this time around as harry , but the film conjures the magic of author j.k. rowling 's books . ",1,451,POSITIVE
has all the depth of a wading pool . ,0,867,NEGATIVE
"even in its most tedious scenes , russian ark is mesmerizing . ",1,445,POSITIVE
"on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion . ",1,63,POSITIVE
candid and comfortable ; a film that deftly balances action and reflection as it lets you grasp and feel the passion others have for their work . ,1,825,POSITIVE
"this is human comedy at its most amusing , interesting and confirming . ",1,718,POSITIVE
"in an effort , i suspect , not to offend by appearing either too serious or too lighthearted , it offends by just being wishy-washy . ",0,342,NEGATIVE
you wonder why enough was n't just a music video rather than a full-length movie . ,0,65,NEGATIVE
"this is not the undisputed worst boxing movie ever , but it 's certainly not a champion - the big loser is the audience . ",0,209,NEGATIVE
"... a fun little timewaster , helped especially by the cool presence of jean reno . ",1,755,POSITIVE
"mcconaughey 's fun to watch , the dragons are okay , not much fire in the script . ",1,865,POSITIVE
"there is nothing outstanding about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine . ",1,78,POSITIVE
"care deftly captures the wonder and menace of growing up , but he never really embraces the joy of fuhrman 's destructive escapism or the grace-in-rebellion found by his characters . ",0,513,NEGATIVE
"less dizzying than just dizzy , the jaunt is practically over before it begins . ",0,710,NEGATIVE
a coarse and stupid gross-out . ,0,549,NEGATIVE
serving sara does n't serve up a whole lot of laughs . ,0,298,NEGATIVE
"writer/director joe carnahan 's grimy crime drama is a manual of precinct cliches , but it moves fast enough to cover its clunky dialogue and lapses in logic . ",1,760,POSITIVE
"this is an egotistical endeavor from the daughter of horror director dario argento ( a producer here ) , but her raw performance and utter fearlessness make it strangely magnetic . ",1,514,POSITIVE
the movie does a good job of laying out some of the major issues that we encounter as we journey through life . ,1,783,POSITIVE
a hamfisted romantic comedy that makes our girl the hapless facilitator of an extended cheap shot across the mason-dixon line . ,0,584,NEGATIVE
"sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects , not the least of which is rebecca romijn-stamos . ",0,692,NEGATIVE
it inspires a continuing and deeply satisfying awareness of the best movies as monumental ` picture shows . ' ,1,457,POSITIVE
nothing is sacred in this gut-buster . ,0,377,NEGATIVE
it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . ,0,49,NEGATIVE
"and the lesson , in the end , is nothing new . ",0,208,NEGATIVE
"aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better . ",1,785,POSITIVE
brilliantly explores the conflict between following one 's heart and following the demands of tradition . ,1,239,POSITIVE
a rigorously structured and exquisitely filmed drama about a father and son connection that is a brief shooting star of love . ,1,717,POSITIVE
"it can not be enjoyed , even on the level that one enjoys a bad slasher flick , primarily because it is dull . ",0,581,NEGATIVE
a taut psychological thriller that does n't waste a moment of its two-hour running time . ,1,630,POSITIVE
"a study in shades of gray , offering itself up in subtle plot maneuvers ... ",1,684,POSITIVE
"the far future may be awesome to consider , but from period detail to matters of the heart , this film is most transporting when it stays put in the past . ",1,866,POSITIVE
"if the first men in black was money , the second is small change . ",0,559,NEGATIVE
"charles ' entertaining film chronicles seinfeld 's return to stand-up comedy after the wrap of his legendary sitcom , alongside wannabe comic adams ' attempts to get his shot at the big time . ",1,426,POSITIVE
"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ",0,33,NEGATIVE
"... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ",0,31,NEGATIVE
"whether you like rap music or loathe it , you ca n't deny either the tragic loss of two young men in the prime of their talent or the power of this movie . ",1,235,POSITIVE
"with tightly organized efficiency , numerous flashbacks and a constant edge of tension , miller 's film is one of 2002 's involvingly adult surprises . ",1,381,POSITIVE
the minor figures surrounding ( bobby ) ... form a gritty urban mosaic . ,1,507,POSITIVE
"vera 's three actors -- mollà , gil and bardem -- excel in insightful , empathetic performances . ",1,723,POSITIVE
it 's great escapist fun that recreates a place and time that will never happen again . ,1,109,POSITIVE
the son 's room is a triumph of gentility that earns its moments of pathos . ,1,77,POSITIVE
"but the power of these ( subjects ) is obscured by the majority of the film that shows a stationary camera on a subject that could be mistaken for giving a public oration , rather than contributing to a film 's narrative . ",0,804,NEGATIVE
it 's one pussy-ass world when even killer-thrillers revolve around group therapy sessions . ,0,82,NEGATIVE
stealing harvard aspires to comedic grand larceny but stands convicted of nothing more than petty theft of your time . ,0,357,NEGATIVE
light years / several warp speeds / levels and levels of dilithium crystals better than the pitiful insurrection . ,1,495,POSITIVE
"the director knows how to apply textural gloss , but his portrait of sex-as-war is strictly sitcom . ",0,596,NEGATIVE
"so , too , is this comedy about mild culture clashing in today 's new delhi . ",1,196,POSITIVE
"deliriously funny , fast and loose , accessible to the uninitiated , and full of surprises ",1,290,POSITIVE
filmmakers who can deftly change moods are treasures and even marvels . ,1,679,POSITIVE
"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ",1,5,POSITIVE
so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises ,0,54,NEGATIVE
"the film is beautifully mounted , but , more to the point , the issues are subtly presented , managing to walk a fine line with regard to the question of joan 's madness . ",1,664,POSITIVE
makes for a pretty unpleasant viewing experience . ,0,606,NEGATIVE
late marriage 's stiffness is unlikely to demonstrate the emotional clout to sweep u.s. viewers off their feet . ,0,824,NEGATIVE
"no sophomore slump for director sam mendes , who segues from oscar winner to oscar-winning potential with a smooth sleight of hand . ",1,97,POSITIVE
"it 's too self-important and plodding to be funny , and too clipped and abbreviated to be an epic . ",0,836,NEGATIVE
collateral damage finally delivers the goods for schwarzenegger fans . ,1,834,POSITIVE
"... mafia , rap stars and hood rats butt their ugly heads in a regurgitation of cinematic violence that gives brutal birth to an unlikely , but likable , hero . ' ",1,847,POSITIVE
detox is ultimately a pointless endeavor . ,0,490,NEGATIVE
"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ",0,25,NEGATIVE
"the band 's courage in the face of official repression is inspiring , especially for aging hippies ( this one included ) . ",1,84,POSITIVE
the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ,1,10,POSITIVE
"all that 's missing is the spontaneity , originality and delight . ",0,218,NEGATIVE
"portentous and pretentious , the weight of water is appropriately titled , given the heavy-handedness of it drama . ",0,365,NEGATIVE
"outer-space buffs might love this film , but others will find its pleasures intermittent . ",0,405,NEGATIVE
"offers very little genuine romance and even fewer laughs ... a sad sitcom of a movie , largely devoid of charm . ",0,576,NEGATIVE
every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable . ,0,118,NEGATIVE
"suffocated by its fussy script and uptight characters , this musty adaptation is all the more annoying since it 's been packaged and sold back to us by hollywood . ",0,730,NEGATIVE
its well of thorn and vinegar ( and simple humanity ) has long been plundered by similar works featuring the insight and punch this picture so conspicuously lacks . ,0,296,NEGATIVE
i had to look away - this was god awful . ,0,29,NEGATIVE
"drops you into a dizzying , volatile , pressure-cooker of a situation that quickly snowballs out of control , while focusing on the what much more than the why . ",1,673,POSITIVE
it all adds up to good fun . ,1,393,POSITIVE
"at its best , queen is campy fun like the vincent price horror classics of the '60s . ",1,286,POSITIVE
to say this was done better in wilder 's some like it hot is like saying the sun rises in the east . ,0,211,NEGATIVE
"when the film ended , i felt tired and drained and wanted to lie on my own deathbed for a while . ",0,774,NEGATIVE
"green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project . ",0,81,NEGATIVE
a film about a young man finding god that is accessible and touching to the marrow . ,1,767,POSITIVE
this flick is about as cool and crowd-pleasing as a documentary can get . ,1,626,POSITIVE
"although huppert 's intensity and focus has a raw exhilaration about it , the piano teacher is anything but fun . ",0,544,NEGATIVE
"despite its title , punch-drunk love is never heavy-handed . ",1,398,POSITIVE
"movie fans , get ready to take off ... the other direction . ",0,764,NEGATIVE
i 'll bet the video game is a lot more fun than the film . ,0,312,NEGATIVE
a beguiling splash of pastel colors and prankish comedy from disney . ,1,326,POSITIVE
a romantic comedy enriched by a sharp eye for manners and mores . ,1,523,POSITIVE
made with no discernible craft and monstrously sanctimonious in dealing with childhood loss . ,0,745,NEGATIVE
"the humor is forced and heavy-handed , and occasionally simply unpleasant . ",0,368,NEGATIVE
not since tom cruise in risky business has an actor made such a strong impression in his underwear . ,1,697,POSITIVE
"while the ideas about techno-saturation are far from novel , they 're presented with a wry dark humor . ",1,425,POSITIVE
"thanks to haynes ' absolute control of the film 's mood , and buoyed by three terrific performances , far from heaven actually pulls off this stylistic juggling act . ",1,473,POSITIVE
"may be far from the best of the series , but it 's assured , wonderfully respectful of its past and thrilling enough to make it abundantly clear that this movie phenomenon has once again reinvented itself for a new generation . ",1,758,POSITIVE
the film 's welcome breeziness and some unbelievably hilarious moments -- most portraying the idiocy of the film industry -- make it mostly worth the trip . ,1,858,POSITIVE
"nelson 's brutally unsentimental approach ... sucks the humanity from the film , leaving behind an horrific but weirdly unemotional spectacle . ",0,750,NEGATIVE
"a coda in every sense , the pinochet case splits time between a minute-by-minute account of the british court 's extradition chess game and the regime 's talking-head survivors . ",1,266,POSITIVE
` easily my choice for one of the year 's best films . ' ,1,360,POSITIVE
"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe . ",1,816,POSITIVE
or doing last year 's taxes with your ex-wife . ,0,7,NEGATIVE
"impostor has a handful of thrilling moments and a couple of good performances , but the movie does n't quite fly . ",0,851,NEGATIVE
a nightmare date with a half-formed wit done a great disservice by a lack of critical distance and a sad trust in liberal arts college bumper sticker platitudes . ,0,155,NEGATIVE
the chateau cleverly probes the cross-cultural differences between gauls and yanks . ,1,331,POSITIVE
"his last movie was poetically romantic and full of indelible images , but his latest has nothing going for it . ",0,101,NEGATIVE
"at its worst , it implodes in a series of very bad special effects . ",0,380,NEGATIVE
chokes on its own depiction of upper-crust decorum . ,0,281,NEGATIVE
"displaying about equal amounts of naiveté , passion and talent , beneath clouds establishes sen as a filmmaker of considerable potential . ",1,359,POSITIVE
